Molecular Weight,Smiles,Ligand Efficiency BEI,Ligand Efficiency BEI/MW
307.32,Cc1nc(N)nc(-n2c(Nc3cc[nH]n3)nc3ccccc32)n1,24.63,0.080144475
358.36,N#CCNc1ncnc(-n2c(Nc3cccc(O)c3)nc3ccccc32)n1,16.1,0.044926889
356.39,Cc1nc(N)nc(-n2c(Nc3ccc4cc[nH]c4c3)nc3ccccc32)n1,19.23,0.053957743
319.33,Nc1ncnc(-n2c(Nc3cccc(O)c3)nc3ccccc32)n1,24.04,0.075282623
317.36,Cc1nc(N)nc(-c2cccnc2Nc2cccc3[nH]ccc23)n1,16.2,0.051046131
372.39,Cc1nc(NCC#N)nc(-n2c(Nc3cccc(O)c3)nc3ccccc32)n1,21.74,0.058379656
374.41,CC(=O)Nc1ccc(Nc2nc3ccccc3n2-c2nc(C)nc(N)n2)cc1,17.28,0.046152613
343.3,Cc1nc(N)nc(-n2c(Nc3cc[nH]n3)nc3cc(F)c(F)cc32)n1,21.4,0.062336149
545.67,CCN(CC)S(=O)(=O)c1cc(Nc2nccc(-c3ccnc(-c4ccc(NC(=O)NC)cc4)c3)n2)ccc1C,12.93,0.02369564
389.42,CNC(=O)Nc1ccc(Nc2nc3ccccc3n2-c2nc(C)nc(N)n2)cc1,22.34,0.057367367
346.36,Cc1nc(NCC#N)nc(-n2c(Nc3cc[nH]n3)nc3ccccc32)n1,21.68,0.062593833
425.49,CC(O)c1cc(-c2nc3c(N4CCOC[C@@H]4C)nc(N4CCOCC4)nc3[nH]2)ccn1,13.38,0.031446097
480.55,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3ccc4c(ccn4S(C)(=O)=O)c3n2)cc1,18.1,0.037665175
456.51,O=C(Nc1ccc(CO)cc1)Nc1ccc(-c2nc(N3CCOCC3)c3ncccc3n2)cc1,18.18,0.039823881
491.55,CCOC(=O)c1nc(-c2ccc(NC(=O)Nc3ccccc3)cc2)nc(N2CCOCC2)c1OCC,13.93,0.028338928
405.46,COc1cnc(-c2ccc(NC(=O)Nc3ccccc3)cc2)nc1N1CCOCC1,16.27,0.040127263
530.63,CCOc1c(C(=O)N2CCCCC2)nc(-c2ccc(NC(=O)Nc3ccccc3)cc2)nc1N1CCOCC1,12.42,0.02340614
393.9,CNC(=O)Nc1ccc(-c2nc(Cl)c(SC)c(N3CCOCC3)n2)cc1,17.6,0.044681391
554.12,CSc1c(Cl)nc(-c2ccc(NC(=O)Nc3ccc(N4CCN(C)CC4)cc3)cc2)nc1N1CCOCC1,13.14,0.023713275
557.15,CSc1c(Cl)nc(-c2ccc(NC(=O)Nc3ccc(N4CCSCC4)cc3)cc2)nc1N1CCOCC1,12.34,0.022148434
590.64,CCOC(=O)c1nc(-c2ccc(NC(=O)Nc3ccc(N4CCOCC4=O)cc3)cc2)nc(N2CCOCC2)c1OCC,13.44,0.022754978
589.7,CCOC(=O)c1nc(-c2ccc(NC(=O)Nc3ccc(N4CCN(C)CC4)cc3)cc2)nc(N2CCOCC2)c1OCC,11.83,0.020061048
506.63,COc1cnc(-c2ccc(NC(=O)Nc3ccc(N4CCSCC4)cc3)cc2)nc1N1CCOCC1,15.98,0.031541756
479.56,CN(C)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n([C@H]3CCCOC3)c(=O)n2C)cn1,10.49,0.021874218
447.5,COC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5ccc(OC)nc5)cc4c32)CC1,15.95,0.035642458
420.48,Cc1nc(-c2nc[nH]n2)ccc1-c1cnc2c(n1)N(CCC1CCOCC1)C(=O)CN2,18.68,0.044425419
458.45,COc1ncc(-c2ccc3ncc(C)c(=O)n3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,15.1,0.032937071
